										
Stock Market Data Used in "Irrational Exuberance" Princeton University Press, 2000, 2005, updated										Cyclically
Robert J. Shiller										Adjusted
										Price
				  Consumer						Earnings
	S&P			Price		Long				Ratio
	Comp.	Dividend	Earnings	Index	Date  	Interest	Real	Real	Real	P/E10 or
Date	P	D	E	CPI	Fraction	Rate GS10	Price	Dividend	Earnings	CAPE
1878.09	3.52	0.18	0.31	8.56	1878.71	4.26	97.22	5.04	8.49	NA
1878.1	3.48	0.18	0.31	8.47	1878.79	4.25	97.20	5.07	8.61	NA
1878.11	3.47	0.18	0.31	8.37	1878.87	4.24	98.02	5.11	8.73	NA
1878.12	3.45	0.18	0.31	8.18	1878.96	4.23	99.72	5.20	8.96	NA
1879.01	3.58	0.18	0.32	8.28	1879.04	4.22	102.29	5.19	9.02	NA
1879.02	3.71	0.18	0.32	8.37	1879.12	4.20	104.80	5.18	9.09	NA
1879.03	3.65	0.19	0.33	8.28	1879.21	4.19	104.29	5.29	9.36	NA
1879.04	3.77	0.19	0.33	8.18	1879.29	4.17	108.97	5.40	9.63	NA
1879.05	3.94	0.19	0.34	8.18	1879.37	4.15	113.88	5.44	9.80	NA
1879.06	3.96	0.19	0.35	8.09	1879.46	4.14	115.81	5.56	10.09	NA
1879.07	4.04	0.19	0.35	8.18	1879.54	4.12	116.77	5.54	10.14	NA
1879.08	4.07	0.19	0.36	8.18	1879.62	4.10	117.64	5.59	10.31	NA
1879.09	4.22	0.20	0.36	8.47	1879.71	4.09	117.87	5.45	10.12	NA
1879.1	4.68	0.20	0.37	8.94	1879.79	4.07	123.76	5.20	9.74	NA
1879.11	4.93	0.20	0.37	9.42	1879.87	4.05	123.79	4.98	9.40	NA
1879.12	4.92	0.20	0.38	9.70	1879.96	4.04	119.90	4.87	9.26	NA
1880.01	5.11	0.21	0.39	9.99	1880.04	4.02	120.97	4.85	9.21	NA
1880.02	5.20	0.21	0.40	9.99	1880.12	3.99	123.10	4.97	9.43	NA
1880.03	5.30	0.22	0.41	10.09	1880.21	3.97	124.29	5.04	9.56	NA
1880.04	5.18	0.22	0.42	9.70	1880.29	3.94	126.24	5.36	10.16	NA
1880.05	4.77	0.23	0.43	9.42	1880.37	3.91	119.77	5.65	10.69	NA
1880.06	4.79	0.23	0.44	9.23	1880.46	3.89	122.75	5.89	11.15	NA
1880.07	5.01	0.24	0.44	9.23	1880.54	3.86	128.39	6.02	11.38	NA
1880.08	5.19	0.24	0.45	9.23	1880.62	3.83	133.00	6.15	11.62	NA
1880.09	5.18	0.25	0.46	9.32	1880.71	3.81	131.39	6.21	11.73	NA
1880.1	5.33	0.25	0.47	9.32	1880.79	3.78	135.20	6.34	11.96	NA
1880.11	5.61	0.26	0.48	9.42	1880.87	3.75	140.86	6.40	12.07	NA
1880.12	5.84	0.26	0.49	9.51	1880.96	3.73	145.17	6.46	12.18	NA
1881.01	6.19	0.27	0.49	9.42	1881.04	3.70	155.42	6.65	12.20	18.47
1881.02	6.17	0.27	0.48	9.51	1881.12	3.69	153.37	6.71	11.97	18.15
1881.03	6.24	0.28	0.48	9.51	1881.21	3.69	155.11	6.84	11.87	18.27
1881.04	6.22	0.28	0.47	9.61	1881.29	3.68	153.09	6.89	11.65	17.95
1881.05	6.50	0.29	0.47	9.51	1881.37	3.67	161.58	7.08	11.66	18.87
1881.06	6.58	0.29	0.47	9.51	1881.46	3.67	163.56	7.21	11.56	19.03
1881.07	6.35	0.30	0.46	9.61	1881.54	3.66	156.28	7.26	11.34	18.12
1881.08	6.20	0.30	0.46	9.80	1881.62	3.65	149.63	7.24	11.02	17.29
1881.09	6.25	0.31	0.45	10.18	1881.71	3.65	145.20	7.09	10.51	16.72
1881.1	6.15	0.31	0.45	10.28	1881.79	3.64	141.55	7.14	10.32	16.26
1881.11	6.19	0.32	0.44	10.18	1881.87	3.63	143.80	7.32	10.32	16.48
